	Unnamed: 0	globalMean	mdiffs	maxdiffs	mindiffs	eigen	sampleName
0	0	381.3924952461606	-13.961507177352903	60.53881931304932	-30.739262580871586	1.0	30052023--s--Lm--st--L1764--p--F04--pos005--tm--24--ch--Syto9--z--21
0	0	348.12353134155273	-11.8521466255188	20.81696891784668	-30.29596900939941	1.0	30052023--s--Lm--st--L1764--p--F05--pos004--tm--24--ch--Syto9--z--21
0	0	375.4293147041684	-54.33013319969177	16.54390811920166	-179.70540046691897	1.0	25042023--s--Lm--st--19115--p--C03--pos003--tm--24--ch--Syto9--z--21
0	0	495.7663736343384	-22.754408168792725	66.33709621429443	-52.68289089202881	1.0	30052023--s--Lm--st--L1764--p--G03--pos003--tm--24--ch--Syto9--z--21
0	0	386.0543584369478	-48.19579887390137	-4.447038650512695	-137.44062328338623	1.0	25042023--s--Lm--st--19115--p--C04--pos005--tm--24--ch--Syto9--z--21
0	0	202.41328548249743	-26.82390627861023	-0.9497394561767578	-84.67566585540771	1.0	23052023--s--Lm--st--19115--p--F04--pos005--tm--24--ch--Syto9--z--21
0	0	668.681387855893	-43.46436648368835	174.07364654541016	-252.93460941314697	1.0	28032023--s--Lm--st--L455--p--C05--pos004--tm--24--ch--Syto9--z--21
0	0	239.28621469225203	-29.867646074295045	19.62637233734131	-99.65757846832275	1.0	23052023--s--Lm--st--19115--p--F05--pos005--tm--24--ch--Syto9--z--21
0	0	329.3866212481544	-34.35953531265259	-6.716594696044922	-109.01975345611572	1.0	04072023--s--Lm--st--L1823--p--G04--pos001--tm--24--ch--Syto9--z--21
0	0	548.6226451964606	-52.97825512886048	-15.519132614135742	-162.03891563415527	1.0	18072023--s--Lm--st--L1323--p--B09--pos003--tm--24--ch--Syto9--z--21
0	0	492.1611685071673	-27.198466300964355	-1.873451232910156	-84.53819561004639	1.0	23052023--s--Lm--st--L628--p--D04--pos005--tm--24--ch--Syto9--z--21
0	0	411.490582874843	-35.97784781455994	21.722167015075684	-101.07669067382812	1.0	14112023--s--Lm--st--19115--p--G09--pos005--tm--24--ch--Syto9--z--21
0	0	471.1448212578183	-62.3217013835907	-7.104042053222656	-194.9638786315918	1.0	13062023--s--Lm--st--L634--p--C10--pos002--tm--24--ch--Syto9--z--21
0	0	414.6759046827044	-21.16615734100342	50.78216457366944	-42.69951057434082	1.0	30052023--s--Lm--st--L1764--p--G04--pos002--tm--24--ch--Syto9--z--21
0	0	159.03595288594565	-21.15216856002808	6.571591377258301	-84.6869421005249	1.0	23052023--s--Lm--st--19115--p--F10--pos005--tm--24--ch--Syto9--z--21
0	0	474.8087668191818	-55.06074051856994	-4.8944902420043945	-174.49424934387207	1.0	28032023--s--Lm--st--L455--p--D07--pos001--tm--24--ch--Syto9--z--21
0	0	993.7211176100232	-89.95949697494507	-5.482778549194336	-256.4141483306885	1.0	13042023--s--Lm--st--L628--p--C06--pos004--tm--24--ch--Syto9--z--21
0	0	703.9192632493518	-47.82386283874512	95.32537460327148	-159.05241680145264	1.0	13062023--s--Lm--st--L634--p--C04--pos003--tm--24--ch--Syto9--z--21
0	0	501.05318709782193	-45.426910972595216	29.992436408996586	-101.65546894073486	1.0	16052023--s--Lm--st--L455--p--G06--pos004--tm--24--ch--Syto9--z--21
0	0	906.291953813462	-54.61360311508179	22.782962799072266	-86.01334285736084	1.0	16052023--s--Lm--st--L394--p--D08--pos004--tm--24--ch--Syto9--z--21
0	0	258.841263680231	-30.403626680374146	-5.072138786315918	-71.4830904006958	1.0	04072023--s--Lm--st--L1323--p--C05--pos005--tm--24--ch--Syto9--z--21
0	0	395.593751453218	-53.83179173469544	-1.1041078567504885	-189.99590015411377	1.0	13042023--s--Lm--st--L628--p--C06--pos002--tm--24--ch--Syto9--z--21
0	0	779.9290540786017	-53.38287057876587	15.9063081741333	-88.62836360931396	1.0	18042023--s--Lm--st--L394--p--C04--pos003--tm--24--ch--Syto9--z--21
0	0	399.1348990031651	-35.13127465248108	2.774655342102051	-118.16411399841309	1.0	23052023--s--Lm--st--L628--p--D04--pos002--tm--24--ch--Syto9--z--21
0	0	159.412995383853	-20.887857007980347	-1.8932838439941408	-95.58539485931396	1.0	23052023--s--Lm--st--19115--p--F06--pos002--tm--24--ch--Syto9--z--21
0	0	640.3452694756644	-51.885834312438966	-18.75642871856689	-133.5218162536621	1.0	16052023--s--Lm--st--L455--p--G07--pos005--tm--24--ch--Syto9--z--21
0	0	511.53593631017776	-38.24665369987488	-12.63169288635254	-119.12669467926024	1.0	18072023--s--Lm--st--L1823--p--E03--pos005--tm--24--ch--Syto9--z--21
0	0	221.09626620156425	-34.68840746879577	-0.5418720245361328	-108.86986351013184	1.0	25042023--s--Lm--st--19115--p--D04--pos002--tm--24--ch--Syto9--z--21
0	0	258.3853257043021	-32.01736674308777	-5.26756763458252	-90.38230323791504	1.0	30052023--s--Lm--st--L634--p--D04--pos003--tm--24--ch--Syto9--z--21
0	0	320.0025607971918	-33.84913864135742	-1.0161476135253906	-96.6257266998291	1.0	04072023--s--Lm--st--L1323--p--D05--pos001--tm--24--ch--Syto9--z--21
0	0	609.436240922837	-60.14223165512085	-21.89401340484619	-133.06665992736816	1.0	18072023--s--Lm--st--L1323--p--B09--pos004--tm--24--ch--Syto9--z--21
0	0	440.31974052247546	-24.64519348144531	24.46926212310791	-135.43632125854492	1.0	23052023--s--Lm--st--L628--p--C09--pos003--tm--24--ch--Syto9--z--21
0	0	326.98666241055446	-24.97314133644104	-10.113405227661133	-35.55238914489746	1.0	30052023--s--Lm--st--L1764--p--F10--pos001--tm--24--ch--Syto9--z--21
0	0	371.94320206415085	-50.46820459365845	-3.544273376464844	-135.03843879699707	1.0	25042023--s--Lm--st--19115--p--C03--pos005--tm--24--ch--Syto9--z--21
0	0	153.47694224403017	-18.335979175567623	-2.382394790649414	-41.26913261413574	1.0	23052023--s--Lm--st--19115--p--F07--pos002--tm--24--ch--Syto9--z--21
0	0	1080.4706273305983	-24.625013303756717	114.85709190368652	-76.13938426971436	1.0	18042023--s--Lm--st--L394--p--D08--pos005--tm--24--ch--Syto9--z--21
0	0	630.2264901569912	-52.524589729309085	2.409609794616699	-167.2942304611206	1.0	07112023--s--Lm--st--L634--p--B07--pos002--tm--24--ch--Syto9--z--21
0	0	791.3778561183384	-50.835474252700806	-32.25577735900879	-76.28912544250488	1.0	13062023--s--Lm--st--L1764--p--F06--pos005--tm--24--ch--Syto9--z--21
0	0	668.681387855893	-43.46436648368835	174.07364654541016	-252.93460941314697	1.0	28032023--s--Lm--st--L455--p--C07--pos004--tm--24--ch--Syto9--z--21
0	0	642.0711971464611	-64.12689762115478	-12.622272491455078	-153.3001651763916	1.0	14112023--s--Lm--st--L455--p--B02--pos002--tm--24--ch--Syto9--z--21
0	0	505.5377051489694	-46.68976426124573	7.525642395019531	-106.53468132019044	1.0	16052023--s--Lm--st--L455--p--F05--pos002--tm--24--ch--Syto9--z--21
0	0	350.5620912824358	-29.185107278823853	-12.987603187561035	-70.15485095977783	1.0	14112023--s--Lm--st--L1323--p--C11--pos003--tm--24--ch--Syto9--z--21
